# Logfile created on 2026-03-09 17:38:44 +0100 by logger.rb/v1.6.0
2026-03-09 17:38:44 +0100: Memory Usage (430928K) : metal4_pin has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (430928K) : metal4_mask has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (431056K) : metal4_filler has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (431056K) : metal4_nofill has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (431184K) : metal4_slit has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (431184K) : metal4_text has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (431312K) : metal4_opc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (431312K) : metal4_noqrc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (431440K) : metal4_res has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (431440K) : metal4_iprobe has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (431568K) : metal4_diffprb has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (431568K) : heattrans_drw has 480 polygons
2026-03-09 17:38:44 +0100: Memory Usage (431696K) : heatres_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (431696K) : pempoly_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (431824K) : fbe_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (431824K) : empoly_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (431952K) : ldmos_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (431952K) : pbiwind_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (432080K) : digisub_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (432080K) : nodrc_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (432208K) : text_drw has 142 polygons
2026-03-09 17:38:44 +0100: Memory Usage (432208K) : via4_drw has 2 polygons
2026-03-09 17:38:44 +0100: Memory Usage (432336K) : metal5_drw has 2 polygons
2026-03-09 17:38:44 +0100: Memory Usage (432336K) : metal5_pin has 2 polygons
2026-03-09 17:38:44 +0100: Memory Usage (432464K) : metal5_mask has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (432464K) : metal5_filler has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (432592K) : metal5_nofill has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (432592K) : metal5_slit has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (432720K) : metal5_text has 2 polygons
2026-03-09 17:38:44 +0100: Memory Usage (432720K) : metal5_opc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (432848K) : metal5_noqrc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (432848K) : metal5_res has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (432976K) : metal5_iprobe has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (432976K) : metal5_diffprb has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433104K) : radhard_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433104K) : memcap_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433232K) : varicap_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433232K) : flash_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433360K) : intbondvia_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : intbondmet_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : devbondvia_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : devbondmet_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : devtrench_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : redist_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : graphbot_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : graphtop_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : antvia1_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : antmetal2_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : graphcont_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : siwg_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : siwg_filler has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : siwg_nofill has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : sigrating_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : singrating_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : graphpas_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : emwind3_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : emwihv3_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : redbulay_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : smos_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : graphpad_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : polimide_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : polimide_pin has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : recog_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : recog_pin has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : recog_esd has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : recog_diode has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : recog_tsv has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : recog_iprobe has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : recog_diffprb has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : recog_pillar has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : recog_sbump has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : recog_otp has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : recog_pdiode has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : recog_mom has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : recog_pcm has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : colopen_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : graphmetal1_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : graphmetal1_filler has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : graphmetal1_nofill has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : graphmetal1_slit has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : graphmetal1_opc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : graphmet1l_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : graphmet1l_filler has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : graphmet1l_nofill has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : graphmet1l_slit has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : graphmet1l_opc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : extblock_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : nldd_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : pldd_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : next_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : pext_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : nexthv_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : pexthv_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : graphgate_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : sinwg_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433488K) : sinwg_filler has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433616K) : sinwg_nofill has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433616K) : mempad_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433744K) : topvia1_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433744K) : topmetal1_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433872K) : topmetal1_pin has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (433872K) : topmetal1_mask has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (434000K) : topmetal1_filler has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (434000K) : topmetal1_nofill has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (434128K) : topmetal1_slit has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (434128K) : topmetal1_text has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (434256K) : topmetal1_noqrc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (434256K) : topmetal1_res has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (434384K) : topmetal1_iprobe has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (434384K) : topmetal1_diffprb has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (434512K) : inldpwl_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (434512K) : polyres_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (434640K) : polyres_pin has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (434640K) : vmim_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (434768K) : nbulaycut_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (434768K) : antmetal1_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (434896K) : topvia2_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (434896K) : topmetal2_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (435024K) : topmetal2_pin has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (435024K) : topmetal2_mask has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (435152K) : topmetal2_filler has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (435152K) : topmetal2_nofill has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (435280K) : topmetal2_slit has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (435280K) : topmetal2_text has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (435408K) : topmetal2_noqrc has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (435408K) : topmetal2_res has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (435536K) : topmetal2_iprobe has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (435536K) : topmetal2_diffprb has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (435664K) : snsring_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (435664K) : sensor_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (435792K) : snsarms_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (435792K) : snscmosvia_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (435920K) : colwind_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (435920K) : flm_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436048K) : hafniumox_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436048K) : memvia_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436176K) : thinfilmres_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436176K) : rfmem_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436304K) : norcx_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436432K) : norcx_m2m3 has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_m2m4 has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_m2m5 has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_m2tm1 has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_m2tm2 has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_m3m4 has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_m3m5 has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_m3tm1 has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_m3tm2 has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_m4m5 has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_m4tm1 has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_m4tm2 has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_m5tm1 has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_m5tm2 has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_tm1tm2 has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_m1sub has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_m2sub has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_m3sub has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_m4sub has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_m5sub has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_tm1sub has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : norcx_tm2sub has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : snsbotvia_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : snstopvia_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : deepvia_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : fgetch_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : ctrgat_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : fgimp_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : emwihv_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : lbe_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : alcustop_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : nometfiller_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : prboundary_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : exchange0_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : exchange0_pin has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : exchange0_text has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : exchange1_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : exchange1_pin has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : exchange1_text has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : exchange2_drw has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : exchange2_pin has 0 polygons
2026-03-09 17:38:44 +0100: Memory Usage (436560K) : exchange2_text has 0 polygons
